"Ten most disadvantaged LGAs"
"Rank","LGA","Population","State"
"1","Woorabinda","1,019","Queensland"
"2","Cherbourg","1,194","Queensland"
"3","Belyuen","149","Northern Territory"
"4","West Daly","2,973","Northern Territory"
"5","Yarrabah","2,505","Queensland"
"6","Kowanyama","1,079","Queensland"
"7","Wujal Wujal","276","Queensland"
"8","East Arnhem","8,778","Northern Territory"
"9","Doomadgee","1,387","Queensland"
"10","Central Desert","3,591","Northern Territory"

"a. Census 2021 Usual Resident Population"

"Source: Australian Bureau of Statistics, Socio-Economic Indexes for Areas (SEIFA), Australia 2021"
