"Ten most advantaged LGAs"
"Rank","LGA","Population","State"
"1","Woollahra","53,496","New South Wales"
"2","Mosman","28,329","New South Wales"
"3","Ku-ring-gai","124,076","New South Wales"
"4","Darwin Waterfront Precinct","293","Northern Territory"
"5","North Sydney","68,950","New South Wales"
"6","Waverley","68,605","New South Wales"
"7","Lane Cove","39,438","New South Wales"
"8","Peppermint Grove","1,597","Western Australia"
"9","Nedlands","22,132","Western Australia"
"10","Cottesloe","7,970","Western Australia"

"a. Census 2021 Usual Resident Population"

"Source: Australian Bureau of Statistics, Socio-Economic Indexes for Areas (SEIFA), Australia 2021"
